compound_id,partition,leakage_group,merged_group,structural_cluster,smiles,CDK2_nM,CDK1_nM_or_lower_bound,CDK1_IC50_relation,ratio_or_lower_bound,ratio_relation,joint_biochemical_gate
HC-5a536d0bca07fe58c59070f2,train,HG-76ccd978b3c11b67a84c62e9,0,0,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,18.000000000000018,1209.9999999999993,=,67.22222222222213,=,True
HC-7350858643b60d93c162c48a,train,HG-3a17fda3f7b538b641ee4275,1,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C(F)F)ncc2C12CC2,7.000000000000002,820.0,=,117.14285714285712,=,True
HC-ec05550a33416d4af1b10b04,train,HG-fcf51e9a916bac9834cdccb4,2,0,COC(=O)c1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,96.0000000000001,10000.0,>=,104.16666666666656,>=,True
HC-b0fdf8a04d482f4f42f4b3bd,train,HG-24338566bf270543925d6472,3,0,Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1,1120.000000000001,10000.0,>=,8.928571428571422,>=,False
HC-c707580e4311a12b44cabf6a,train,HG-1e80aaad1ecc63af372ec660,4,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3CO)ncc2C12CC2,32.00000000000002,2940.0000000000027,=,91.87500000000003,=,True
HC-40678296401d85a1b541c8cd,train,HG-397586a90a3a281ceba3e695,5,5,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3cnn4c3CNCC4)ncc2C12CC2,267.99999999999983,10000.0,>=,37.31343283582092,>=,False
HC-046be35402a0ebbfeae4a2a0,train,HG-13453355d963e5e88773b9cc,6,6,COCc1ncc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]1,1354.0,10000.0,>=,7.385524372230429,>=,False
HC-531184aadd5ff6a7c11ef62f,train,HG-67063e15c6f16af4fa8988ac,28,0,COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,20.000000000000004,2240.000000000002,=,112.00000000000009,=,True
HC-3833d651febfd8644c4e9b34,train,HG-37a392f9f4cc1b829ec1b48c,8,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,12.000000000000007,920.0000000000007,=,76.66666666666667,=,True
HC-0a648051370c6c4ab21a15c2,train,HG-2762899ef87464ffb54af7a9,9,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C3CC3)ncc2C12CC2,30.00000000000001,1550.0000000000011,=,51.666666666666686,=,True
HC-93e9a06fe6c2c6fa40306e6e,train,HG-e8d211849585aa75ae7d5a90,10,10,COCCn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,49.00000000000002,2359.9999999999986,=,48.1632653061224,=,True
HC-2d0718c2679a9918f84b70f2,train,HG-0cc3fef14a7e3fd129545489,11,0,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCCC[C@@H](O)C1)C(=O)C21CC1,40.99999999999999,4490.000000000001,=,109.51219512195125,=,True
HC-862148e6286362a6b2359a14,train,HG-4823f201236ed697b37023d9,12,0,COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCCC[C@@H](O)C1)C(=O)C21CC1,114.00000000000003,10000.0,>=,87.71929824561401,>=,False
HC-bfbfe1ba07267c7467f4d5e3,train,HG-84f65955c41ae520c2647056,13,0,N#Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,8.000000000000004,659.9999999999994,=,82.4999999999999,=,True
HC-4f5cb5bc55d1e5e13b24d99e,train,HG-e539a32562211139ae7519a7,14,0,COCc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,17.000000000000007,2499.9999999999995,=,147.05882352941165,=,True
HC-4f081b6936afd38a189ea800,train,HG-32d15f895e8691a9b259c11e,15,0,CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,15.000000000000004,2429.9999999999995,=,161.99999999999994,=,True
HC-8f710485ebf3f87d21f60884,train,HG-addc049aa275c05a81fd48f9,16,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccccc34)ncc2C12CC2,11.000000000000009,1179.999999999999,=,107.27272727272711,=,True
HC-31dd71ce348836502f42e113,train,HG-b72ee804c5d6e502efbbd6d6,17,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CC(F)(F)C3)ncc2C12CC2,26.000000000000014,3839.9999999999973,=,147.6923076923075,=,True
HC-2e0b0f25d59ec06ee68341fa,train,HG-b7da96721d830c23e9c5530e,18,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn(C(F)F)c3)ncc2C12CC2,10.0,2309.999999999998,=,230.99999999999983,=,True
HC-da3608223c73e97e5aa8f685,train,HG-d8ff295624b82d10c88d8a1d,19,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3C#Cc3cccnc3)ncc2C12CC2,39.00000000000003,4990.000000000003,=,127.94871794871793,=,True
HC-3dc6ec245d2862ec30bac576,train,HG-41fc61f460df652151344fd0,20,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3CC3)ncc2C12CC2,8.000000000000004,1040.000000000001,=,130.00000000000006,=,True
HC-f62b975cee248388caed4d95,train,HG-81bae5fb945da1c2f04c8ab0,21,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,7.000000000000002,1200.0000000000007,=,171.4285714285715,=,True
HC-50f30cf983b46f1625a11fe5,train,HG-1b7bc16eb59d0b99ba2fdf23,22,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCC3)ncc2C12CC2,26.000000000000014,2890.0000000000023,=,111.15384615384619,=,True
HC-5126418e5255ba63322fe094,train,HG-d6b86d88259323a67c50ded6,23,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,4.999999999999999,730.0,=,146.00000000000003,=,True
HC-94c06e78f7a2ec72f42e67ba,train,HG-978c6c9c9749924425006f10,24,0,COCC(F)(F)COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,15.000000000000004,1810.0000000000002,=,120.66666666666664,=,True
HC-d67d3ab2b0b3d15381422ef8,train,HG-fce774ed72b99a03741dcff6,25,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)CC3)ncc2C12CC2,11.000000000000009,770.0000000000007,=,70.00000000000001,=,True
HC-ebfb3b8b9aea5d5941934588,train,HG-eb7db9fdebae39d4b07e8961,26,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CN(CC(F)(F)F)C3)ncc2C12CC2,109.00000000000004,10000.0,>=,91.743119266055,>=,False
HC-5583f266015cd435ef65c84c,train,HG-97f7aecdf3b8f136cd60c96f,27,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC3(F)COC3)ncc2C12CC2,22.000000000000018,3250.0000000000005,=,147.7272727272726,=,True
HC-8fb3de04c246252dfcc5f855,train,HG-67063e15c6f16af4fa8988ac,28,0,[2H]C([2H])([2H])Oc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,15.000000000000004,2639.9999999999986,=,175.99999999999986,=,True
HC-dd08ed6610f74ef444967503,train,HG-7653a14187437b47a5dcf8e4,30,0,CN1C[C@@H](F)[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,124.99999999999994,10000.0,>=,80.00000000000003,>=,False
