endpoint,fold,compound_id,group
CDK2,0,HC-b0fdf8a04d482f4f42f4b3bd,3
CDK2,0,HC-0a648051370c6c4ab21a15c2,9
CDK2,0,HC-4f5cb5bc55d1e5e13b24d99e,14
CDK2,0,HC-da3608223c73e97e5aa8f685,19
CDK2,0,HC-94c06e78f7a2ec72f42e67ba,24
CDK2,0,HC-eb8b9e03abf2ca9d02026aff,32
CDK2,0,HC-f7b21e1e71b0c951f10bd450,37
CDK2,0,HC-0827e4e120875d7aa5194d6a,41
CDK2,0,HC-744d18720e0816664a6f88cf,41
CDK2,0,HC-93bbe4e621673d55f3fd1e2e,46
CDK2,1,HC-ec05550a33416d4af1b10b04,2
CDK2,1,HC-3833d651febfd8644c4e9b34,8
CDK2,1,HC-bfbfe1ba07267c7467f4d5e3,13
CDK2,1,HC-2e0b0f25d59ec06ee68341fa,18
CDK2,1,HC-5126418e5255ba63322fe094,23
CDK2,1,HC-4dd3ecbe79447d1307a0f09d,31
CDK2,1,HC-1a4f70baa270a9c7c05faee5,36
CDK2,1,HC-a86718b706208a06340fb465,39
CDK2,1,HC-b7914dc349fa7a633fc06fe6,39
CDK2,1,HC-66a1ca61302e3d64e8ec01b6,45
CDK2,2,HC-7350858643b60d93c162c48a,1
CDK2,2,HC-046be35402a0ebbfeae4a2a0,6
CDK2,2,HC-862148e6286362a6b2359a14,12
CDK2,2,HC-31dd71ce348836502f42e113,17
CDK2,2,HC-50f30cf983b46f1625a11fe5,22
CDK2,2,HC-5583f266015cd435ef65c84c,27
CDK2,2,HC-dd08ed6610f74ef444967503,30
CDK2,2,HC-f0fb35cb2dd27e28368bc0c6,30
CDK2,2,HC-ef4a78258d4af256028e632a,35
CDK2,2,HC-febdaa1aad2e1f92fe314828,44
CDK2,3,HC-5a536d0bca07fe58c59070f2,0
CDK2,3,HC-40678296401d85a1b541c8cd,5
CDK2,3,HC-531184aadd5ff6a7c11ef62f,28
CDK2,3,HC-2d0718c2679a9918f84b70f2,11
CDK2,3,HC-8f710485ebf3f87d21f60884,16
CDK2,3,HC-f62b975cee248388caed4d95,21
CDK2,3,HC-ebfb3b8b9aea5d5941934588,26
CDK2,3,HC-8fb3de04c246252dfcc5f855,28
CDK2,3,HC-f09d8bf1beda158f1bd5b8f5,34
CDK2,3,HC-6ed48c1d15c50be7cd6cf34d,43
CDK2,4,HC-c707580e4311a12b44cabf6a,4
CDK2,4,HC-93e9a06fe6c2c6fa40306e6e,10
CDK2,4,HC-4f081b6936afd38a189ea800,15
CDK2,4,HC-3dc6ec245d2862ec30bac576,20
CDK2,4,HC-d67d3ab2b0b3d15381422ef8,25
CDK2,4,HC-7e4a441cd02054699398e77a,33
CDK2,4,HC-73007618db6a4686b9849357,42
CDK2,4,HC-4c60398359e068a84858cc32,47
CDK2,4,HC-34f9af60e80c3405011799c6,48
CDK1,0,HC-5a536d0bca07fe58c59070f2,0
CDK1,0,HC-93e9a06fe6c2c6fa40306e6e,10
CDK1,0,HC-8f710485ebf3f87d21f60884,16
CDK1,0,HC-f62b975cee248388caed4d95,21
CDK1,0,HC-5583f266015cd435ef65c84c,27
CDK1,0,HC-f7b21e1e71b0c951f10bd450,37
CDK1,0,HC-0827e4e120875d7aa5194d6a,41
CDK1,0,HC-744d18720e0816664a6f88cf,41
CDK1,1,HC-0a648051370c6c4ab21a15c2,9
CDK1,1,HC-4f081b6936afd38a189ea800,15
CDK1,1,HC-3dc6ec245d2862ec30bac576,20
CDK1,1,HC-d67d3ab2b0b3d15381422ef8,25
CDK1,1,HC-1a4f70baa270a9c7c05faee5,36
CDK1,1,HC-a86718b706208a06340fb465,39
CDK1,1,HC-b7914dc349fa7a633fc06fe6,39
CDK1,2,HC-531184aadd5ff6a7c11ef62f,28
CDK1,2,HC-3833d651febfd8644c4e9b34,8
CDK1,2,HC-4f5cb5bc55d1e5e13b24d99e,14
CDK1,2,HC-da3608223c73e97e5aa8f685,19
CDK1,2,HC-94c06e78f7a2ec72f42e67ba,24
CDK1,2,HC-8fb3de04c246252dfcc5f855,28
CDK1,2,HC-ef4a78258d4af256028e632a,35
CDK1,3,HC-c707580e4311a12b44cabf6a,4
CDK1,3,HC-bfbfe1ba07267c7467f4d5e3,13
CDK1,3,HC-2e0b0f25d59ec06ee68341fa,18
CDK1,3,HC-5126418e5255ba63322fe094,23
CDK1,3,HC-f09d8bf1beda158f1bd5b8f5,34
CDK1,3,HC-66a1ca61302e3d64e8ec01b6,45
CDK1,3,HC-4c60398359e068a84858cc32,47
CDK1,4,HC-7350858643b60d93c162c48a,1
CDK1,4,HC-2d0718c2679a9918f84b70f2,11
CDK1,4,HC-31dd71ce348836502f42e113,17
CDK1,4,HC-50f30cf983b46f1625a11fe5,22
CDK1,4,HC-4dd3ecbe79447d1307a0f09d,31
CDK1,4,HC-febdaa1aad2e1f92fe314828,44
CDK1,4,HC-93bbe4e621673d55f3fd1e2e,46
log_selectivity,0,HC-5a536d0bca07fe58c59070f2,0
log_selectivity,0,HC-93e9a06fe6c2c6fa40306e6e,10
log_selectivity,0,HC-8f710485ebf3f87d21f60884,16
log_selectivity,0,HC-f62b975cee248388caed4d95,21
log_selectivity,0,HC-5583f266015cd435ef65c84c,27
log_selectivity,0,HC-f7b21e1e71b0c951f10bd450,37
log_selectivity,0,HC-0827e4e120875d7aa5194d6a,41
log_selectivity,0,HC-744d18720e0816664a6f88cf,41
log_selectivity,1,HC-0a648051370c6c4ab21a15c2,9
log_selectivity,1,HC-4f081b6936afd38a189ea800,15
log_selectivity,1,HC-3dc6ec245d2862ec30bac576,20
log_selectivity,1,HC-d67d3ab2b0b3d15381422ef8,25
log_selectivity,1,HC-1a4f70baa270a9c7c05faee5,36
log_selectivity,1,HC-a86718b706208a06340fb465,39
log_selectivity,1,HC-b7914dc349fa7a633fc06fe6,39
log_selectivity,2,HC-531184aadd5ff6a7c11ef62f,28
log_selectivity,2,HC-3833d651febfd8644c4e9b34,8
log_selectivity,2,HC-4f5cb5bc55d1e5e13b24d99e,14
log_selectivity,2,HC-da3608223c73e97e5aa8f685,19
log_selectivity,2,HC-94c06e78f7a2ec72f42e67ba,24
