row_id,status,endpoint,value_nm,relation_nm,p_activity,p_relation,chemical_group,assay_group,reason,chemical_id,canonical_isomeric_smiles,murcko_scaffold,source_activity_id,source_document,source_year,raw_value,raw_unit,raw_relation,raw_origin,potential_duplicate
ACT-0001,eligible,IC50,52.2,=,7.282329497,=,CHEM-e31f067ccb4627d8,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc(CN3CCNCC3)cn2)n1,28327037,CHEMBL5728430,2021,52.2,nM,=,public_measurement_reformatted,1
ACT-0002,eligible,IC50,35.0,=,7.455931956,=,CHEM-d6424bbb4fdfd4fc,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5905735,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327046,CHEMBL5728430,2021,35,nM,=,public_measurement_reformatted,1
ACT-0003,eligible,IC50,29.6,=,7.528708289,=,CHEM-b0fba725182ebc2a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5814867,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327055,CHEMBL5728430,2021,29.6,nM,=,public_measurement_reformatted,1
ACT-0004,eligible,IC50,33.7,=,7.472370099,=,CHEM-c92710e3d6eeb360,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL4212532,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327064,CHEMBL5728430,2021,33.7,nM,=,public_measurement_reformatted,1
ACT-0005,eligible,IC50,28.7,=,7.542118103,=,CHEM-47d89c52ed10945d,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL6060984,COCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327073,CHEMBL5728430,2021,28.7,nM,=,public_measurement_reformatted,0
ACT-0006,eligible,IC50,15.5,=,7.809668302,=,CHEM-17548d87f54e504b,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5813772,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327082,CHEMBL5728430,2021,15.5,nM,=,public_measurement_reformatted,1
ACT-0007,eligible,IC50,13.4,=,7.872895202,=,CHEM-59d9ae3e54c4f6a7,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5844694,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCO)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327091,CHEMBL5728430,2021,0.0134,uM,=,public_measurement_reformatted,1
ACT-0008,eligible,IC50,10.4,=,7.982966661,=,CHEM-760d5694ed64ea1a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL6017199,COC(=O)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327100,CHEMBL5728430,2021,10.4,nM,=,public_measurement_reformatted,1
ACT-0009,eligible,IC50,60.4,=,7.218963061,=,CHEM-dce53658f66755b7,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5805137,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(F)(F)F)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327109,CHEMBL5728430,2021,60.4,nM,=,public_measurement_reformatted,1
ACT-0010,eligible,IC50,1090.0,=,5.962573502,=,CHEM-1ab74683a6383b32,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL5952864,Cc1nc2c(F)cc(-c3nc(Nc4ncc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ncc3c(n2)CCNC3)n1,28327127,CHEMBL5728430,2021,1090,nM,=,public_measurement_reformatted,0
ACT-0011,eligible,IC50,37.2,=,7.429457060,=,CHEM-22c855a70e723bb5,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL5894084,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327145,CHEMBL5728430,2021,37.2,nM,=,public_measurement_reformatted,0
ACT-0012,eligible,IC50,38.2,=,7.417936637,=,CHEM-64eab3a212832cda,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL5935222,COC(=O)CN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327154,CHEMBL5728430,2021,38.2,nM,=,public_measurement_reformatted,0
ACT-0013,eligible,IC50,7.34,=,8.134303940,=,CHEM-458d80f9007129f4,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL5994315,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(=O)O)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327163,CHEMBL5728430,2021,7.34e-09,M,=,public_measurement_reformatted,0
ACT-0014,eligible,IC50,128.0,=,6.892790030,=,CHEM-55b7f9a3042847ed,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5956369,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCCC1,c1cc(-c2ccc3ncn(C4CCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327172,CHEMBL5728430,2021,0.128,uM,=,public_measurement_reformatted,1
ACT-0015,eligible,IC50,14.8,=,7.829738285,=,CHEM-f51d2549d518b7cc,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL4206061,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCN(C)CC4)C5)ncc3F)cc2n1C(C)C,O=C(CN1CCNCC1)N1CCc2nc(Nc3nccc(-c4ccc5nc[nH]c5c4)n3)ccc2C1,28327190,CHEMBL5728430,2021,14.8,nM,=,public_measurement_reformatted,0
ACT-0016,eligible,IC50,31.1,=,7.507239611,=,CHEM-d00b9cdd8c9b6552,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5763679,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCOCC4)C5)ncc3F)cc2n1C(C)C,O=C(CN1CCOCC1)N1CCc2nc(Nc3nccc(-c4ccc5nc[nH]c5c4)n3)ccc2C1,28327199,CHEMBL5728430,2021,31.1,nM,=,public_measurement_reformatted,1
ACT-0017,eligible,IC50,57.9,=,7.237321436,=,CHEM-b39d5eb4ea77de19,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5784667,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C(C)N(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327208,CHEMBL5728430,2021,57.9,nM,=,public_measurement_reformatted,1
ACT-0018,eligible,IC50,37.2,=,7.429457060,=,CHEM-e843b7dc899933cb,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5833493,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CC(C)(C)O)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327217,CHEMBL5728430,2021,37.2,nM,=,public_measurement_reformatted,1
ACT-0019,eligible,IC50,151.0,=,6.821023053,=,CHEM-a96cfa7820d6773b,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5775992,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C(C)(C)N(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327226,CHEMBL5728430,2021,151,nM,=,public_measurement_reformatted,1
ACT-0020,eligible,IC50,143.0,=,6.844663963,=,CHEM-d456bfa6d73e3741,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL6021833,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CC1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327235,CHEMBL5728430,2021,143,nM,=,public_measurement_reformatted,1
ACT-0021,eligible,IC50,304.0,=,6.517126416,=,CHEM-3c105ed6220c0073,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5932825,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CC1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327244,CHEMBL5728430,2021,0.304,uM,=,public_measurement_reformatted,1
ACT-0022,eligible,IC50,154.0,=,6.812479279,=,CHEM-05d9af55d78ffc8e,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL6012656,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN4CCOCC4)C5)ncc3F)cc2n1C1CC1,O=C(CN1CCOCC1)N1CCc2nc(Nc3nccc(-c4ccc5ncn(C6CC6)c5c4)n3)ccc2C1,28327253,CHEMBL5728430,2021,154,nM,=,public_measurement_reformatted,0
ACT-0023,eligible,IC50,20.4,=,7.690369833,=,CHEM-d710cd5be1fda1ef,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL5899535,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CC(O)C4)C5)ncc3F)cc2n1C(C)C,O=C(C1CCC1)N1CCc2nc(Nc3nccc(-c4ccc5nc[nH]c5c4)n3)ccc2C1,28327262,CHEMBL5728430,2021,20.4,nM,=,public_measurement_reformatted,0
ACT-0024,eligible,IC50,65.5,=,7.183758700,=,CHEM-90b5205c34268e91,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5941223,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCC(C)CC1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327280,CHEMBL5728430,2021,65.5,nM,=,public_measurement_reformatted,1
ACT-0025,eligible,IC50,89.7,=,7.047207557,=,CHEM-ffa7837c7d28c9d4,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5970937,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CCC(C)CC6)c5c4)n3)ccc2C1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327289,CHEMBL5728430,2021,89.7,nM,=,public_measurement_reformatted,1
ACT-0026,eligible,IC50,87.60000000000001,=,7.057495894,=,CHEM-4147b7d1e9b6dd4a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5943083,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCC(C)CC1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327298,CHEMBL5728430,2021,8.76e-08,M,=,public_measurement_reformatted,1
ACT-0027,eligible,IC50,281.0,=,6.551293680,=,CHEM-a56999a5bbf668d2,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5832188,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCCC1,c1cc(-c2ccc3ncn(C4CCCCC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327307,CHEMBL5728430,2021,281,nM,=,public_measurement_reformatted,1
ACT-0028,eligible,IC50,413.0,=,6.384049948,=,CHEM-a8be0a1eed8018e6,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint,CHEMBL6044246,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(=O)N(C)C)C5)ncc3F)cc2n1C1CC1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327316,CHEMBL5728430,2021,0.413,uM,=,public_measurement_reformatted,0
ACT-0029,eligible,IC50,32.3,=,7.490797478,=,CHEM-1cf94792d5604073,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5947385,C=CC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327325,CHEMBL5728430,2021,32.3,nM,=,public_measurement_reformatted,1
ACT-0030,eligible,IC50,40.6,=,7.391473966,=,CHEM-867bcdf438f38f16,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5976927,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CC(N)C4)C5)ncc3F)cc2n1C(C)C,O=C(C1CCC1)N1CCc2nc(Nc3nccc(-c4ccc5nc[nH]c5c4)n3)ccc2C1,28327343,CHEMBL5728430,2021,40.6,nM,=,public_measurement_reformatted,1
ACT-0031,context_only,IC50,3330.0,>,5.477555766,<,CHEM-0d777b2e653f545f,CHEMBL5736732|IC50,"censored concentration; log threshold retained with reversed inequality, not exact training label; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence",CHEMBL5881472,Cc1nc2c(C(F)(F)F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327352,CHEMBL5728430,2021,3330,nM,>,public_measurement_reformatted,1
ACT-0032,eligible,IC50,84.3,=,7.074172425,=,CHEM-f2ddede2d417e675,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL6019056,CNC1CC(C(=O)N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,O=C(C1CCC1)N1CCc2nc(Nc3nccc(-c4ccc5nc[nH]c5c4)n3)ccc2C1,28327361,CHEMBL5728430,2021,84.3,nM,=,public_measurement_reformatted,1
ACT-0033,eligible,IC50,122.0,=,6.913640169,=,CHEM-0fda888fc7843856,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5870326,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C1CC1,c1cc(-c2ccc3ncn(C4CC4)c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327370,CHEMBL5728430,2021,122,nM,=,public_measurement_reformatted,1
ACT-0034,eligible,IC50,54.1,=,7.266802735,=,CHEM-c42ace1f16c0a32e,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence,CHEMBL5976683,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C(C)C,c1cc(-c2ccc3nc[nH]c3c2)nc(Nc2ccc3c(n2)CCNC3)n1,28327379,CHEMBL5728430,2021,54.1,nM,=,public_measurement_reformatted,1
