request_id,compound_id,max_historical_tanimoto,nearest_historical_row,exact_chemical_training_rows,eligible_historical_observation_pIC50s,inference_role
STOCK-01,CED-01,0.84,ACT-0120,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-02,CED-02,0.7073170731707317,ACT-0047,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-03,CED-03,0.9696969696969697,ACT-0014,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-04,CED-04,0.987012987012987,ACT-0027,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-05,CED-05,0.8243243243243243,ACT-0126,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-06,CED-06,0.8461538461538461,ACT-0061,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-07,CED-07,0.8059701492537313,ACT-0095,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-08,CED-08,0.7209302325581395,ACT-0069,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-09,CED-09,0.8181818181818182,ACT-0122,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-10,CED-10,0.8095238095238095,ACT-0045,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-11,CED-11,0.810126582278481,ACT-0099,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-12,CED-12,0.9466666666666667,ACT-0042,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-13,CED-13,0.8481012658227848,ACT-0047,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-14,CED-14,0.8205128205128205,ACT-0013,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-15,CED-15,0.9848484848484849,ACT-0014,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-16,CED-16,0.8513513513513513,ACT-0126,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-17,CED-17,1.0,ACT-0042,ACT-0042,6.154901960,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-18,CED-18,1.0,ACT-0126,ACT-0126,7.647817482,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-19,CED-19,1.0,ACT-0014,ACT-0014,6.892790030,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-20,CED-20,1.0,ACT-0020,ACT-0020,6.844663963,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-21,CED-21,1.0,ACT-0033,ACT-0033,6.913640169,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-22,CED-22,1.0,ACT-0052,ACT-0052,7.260427656,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-23,CED-23,0.1919191919191919,ACT-0078,,,"No cellular inference; exact historical matches are observations, not prospective validations"
STOCK-24,CED-24,0.2,ACT-0027,,,"No cellular inference; exact historical matches are observations, not prospective validations"
