fold,method,test_rows,test_chemicals,test_scaffold_groups,mae,rmse,r2
0,mean,66,62,1,0.5632942874083577,0.6295740819842329,-1.565469230346094
0,nearest_neighbor,66,62,1,0.40739661981451614,0.5575613482139671,-1.012141171859283
0,rf_descriptors,66,62,1,0.574848618066381,0.7187291428753384,-2.3435177892382075
0,rf_retrospective_index,66,62,1,0.03925752145907146,0.060821436542330534,0.9760565639130613
1,mean,22,21,1,0.8638197147358633,0.925677761132585,-1.7075223186770057
1,nearest_neighbor,22,21,1,1.019850481285714,1.1349739989496286,-3.0702792859352677
1,rf_descriptors,22,21,1,0.7626939856808032,0.8967165548324367,-1.5407548317218818
1,rf_retrospective_index,22,21,1,0.08404905035922575,0.11794246283598307,0.9560465702268671
2,mean,12,12,8,0.3026781980833333,0.37001804307703606,-5.823119140213606e-07
2,nearest_neighbor,12,12,8,0.4123396489166667,0.5995669816936617,-1.6256078686556634
2,rf_descriptors,12,12,8,0.24766455748290803,0.3525078031650024,0.09240536695447676
2,rf_retrospective_index,12,12,8,0.017355474187499793,0.021320647019886254,0.9966798690797112
3,mean,11,11,8,0.4346702716179246,0.49521120101041716,-0.0015612069412782592
3,nearest_neighbor,11,11,8,0.33194559818181824,0.4598026690854603,0.13654531118704594
3,rf_descriptors,11,11,8,0.3950545195634852,0.4852277591447522,0.03841461760432996
3,rf_retrospective_index,11,11,8,0.019817945438636384,0.02291452527144503,0.9978555382476805
4,mean,11,11,8,0.4303084318915096,0.5400403929725959,-0.1364379809686158
4,nearest_neighbor,11,11,8,0.3937505911818182,0.5852156529377459,-0.3345200967075481
4,rf_descriptors,11,11,8,0.37206495246989113,0.4811844743242756,0.09777166355218203
4,rf_retrospective_index,11,11,8,0.028413684386365337,0.033176075126178026,0.9957111262501058
