row_id,chemical_group,observed_pIC50,chemical_weight,mean,nearest_neighbor,rf_descriptors,rf_retrospective_index
ACT-0001,CHEM-e31f067ccb4627d8,7.282329497,1.0,7.242218865080953,7.647817482,7.175205802918744,7.299725796187497
ACT-0002,CHEM-d6424bbb4fdfd4fc,7.455931956,1.0,6.981637551727273,6.148741651,6.840851841162504,7.486804641112504
ACT-0003,CHEM-b0fba725182ebc2a,7.528708289,1.0,6.981637551727273,7.829738285,6.530482244591664,7.526241962050003
ACT-0004,CHEM-c92710e3d6eeb360,7.472370099,1.0,6.981637551727273,5.962573502,6.816566152825,7.5150399954125024
ACT-0005,CHEM-47d89c52ed10945d,7.542118103,1.0,6.981637551727273,7.829738285,7.244076197108328,7.522238191912502
ACT-0006,CHEM-17548d87f54e504b,7.809668302,1.0,6.981637551727273,7.829738285,7.600421408487503,7.8211205744
ACT-0007,CHEM-59d9ae3e54c4f6a7,7.872895202,1.0,6.981637551727273,7.829738285,6.810161803050001,7.794675193412506
ACT-0008,CHEM-760d5694ed64ea1a,7.982966661,1.0,6.981637551727273,7.690369833,6.30017128008083,7.939655055125002
ACT-0009,CHEM-dce53658f66755b7,7.218963061,1.0,6.981637551727273,7.829738285,7.070229026136666,7.1883661177499985
ACT-0010,CHEM-1ab74683a6383b32,5.962573502,1.0,7.259840336268868,7.472370099,7.094447424018744,6.002368831275004
ACT-0011,CHEM-22c855a70e723bb5,7.42945706,1.0,6.981637551727273,7.829738285,6.414358426539164,7.404178252437497
ACT-0012,CHEM-64eab3a212832cda,7.417936637,1.0,6.981637551727273,7.829738285,7.244076197108328,7.378495004599996
ACT-0013,CHEM-458d80f9007129f4,8.13430394,1.0,6.981637551727273,7.829738285,6.914964940750004,7.952637543412502
ACT-0014,CHEM-55b7f9a3042847ed,6.89279003,1.0,7.24040964179717,6.844663963,7.702211200300006,6.898501863762503
ACT-0015,CHEM-f51d2549d518b7cc,7.829738285,1.0,7.242218865080953,7.507239611,7.435617828335417,7.812315979062499
ACT-0016,CHEM-d00b9cdd8c9b6552,7.507239611,1.0,7.259840336268868,7.829738285,7.391918667863334,7.5501642064
ACT-0017,CHEM-b39d5eb4ea77de19,7.237321436,1.0,6.981637551727273,7.074172425,7.400555452374998,7.225533085749997
ACT-0018,CHEM-e843b7dc899933cb,7.42945706,1.0,6.981637551727273,7.829738285,7.2291246859125,7.394855891324997
ACT-0019,CHEM-a96cfa7820d6773b,6.821023053,1.0,6.981637551727273,7.690369833,7.0620459334,6.857698385787498
ACT-0020,CHEM-d456bfa6d73e3741,6.844663963,1.0,7.374192064630209,7.1837587,7.146225713875003,6.797966675987496
ACT-0021,CHEM-3c105ed6220c0073,6.517126416,1.0,7.374192064630209,7.057495894,7.144509171424997,6.499148512937495
ACT-0022,CHEM-05d9af55d78ffc8e,6.812479279,1.0,7.24040964179717,7.507239611,7.060745007287499,6.840562777412496
ACT-0023,CHEM-d710cd5be1fda1ef,7.690369833,1.0,7.259840336268868,7.496209317,7.051669055875413,7.687096624387496
ACT-0024,CHEM-90b5205c34268e91,7.1837587,1.0,7.242218865080953,6.844663963,7.256771956268747,7.194506319400001
ACT-0025,CHEM-ffa7837c7d28c9d4,7.047207557,1.0,7.242218865080953,6.88941029,7.010655851126662,7.041445013987501
ACT-0026,CHEM-4147b7d1e9b6dd4a,7.057495894,1.0,7.242218865080953,6.517126416,7.100637643369995,7.061781813562499
ACT-0027,CHEM-a56999a5bbf668d2,6.55129368,1.0,7.242218865080953,6.53165267,6.990630729826663,6.512048110237492
ACT-0028,CHEM-a8be0a1eed8018e6,6.384049948,1.0,7.374192064630209,7.716698771,7.144509171424997,6.408789932024996
ACT-0029,CHEM-1cf94792d5604073,7.490797478,1.0,6.981637551727273,7.690369833,6.538259379312294,7.501698247162503
ACT-0030,CHEM-867bcdf438f38f16,7.391473966,1.0,7.259840336268868,7.496209317,6.8092317299741625,7.364047066699998
ACT-0032,CHEM-f2ddede2d417e675,7.074172425,1.0,7.259840336268868,7.496209317,7.32721826664167,7.053284496762494
ACT-0033,CHEM-0fda888fc7843856,6.913640169,1.0,7.374192064630209,7.266802735,7.245073210750005,6.881776679424997
ACT-0034,CHEM-c42ace1f16c0a32e,7.266802735,1.0,6.981637551727273,6.913640169,6.947779256666665,7.262712428424997
ACT-0035,CHEM-e9ce37bc38208f7d,6.148741651,1.0,7.374192064630209,7.455931956,7.5791396824374955,6.321583816937501
ACT-0036,CHEM-b9e68883d0727350,6.460923901,1.0,7.374192064630209,7.057495894,7.50881210843652,6.498315532187496
ACT-0037,CHEM-2c2b1fa8ad828b3b,6.252588192,0.5,7.374192064630209,7.548213564,6.816067016712493,6.367329445562495
ACT-0038,CHEM-81ae07e81d2d15fe,7.040958608,1.0,7.374192064630209,7.057495894,6.816067016712493,7.061268317674997
ACT-0039,CHEM-6059783a0a67ac07,7.549750892,1.0,6.981637551727273,6.476253533,6.31439135503083,7.529950276925002
ACT-0040,CHEM-5a2820b23dfd180d,6.476253533,1.0,7.374192064630209,7.549750892,6.652895022146874,6.38118298875
