row_id,source_activity_id,source_matches,issues
ACT-0001,28327037,True,
ACT-0002,28327046,True,
ACT-0003,28327055,True,
ACT-0004,28327064,True,
ACT-0005,28327073,True,
ACT-0006,28327082,True,
ACT-0007,28327091,True,
ACT-0008,28327100,True,
ACT-0009,28327109,True,
ACT-0010,28327127,True,
ACT-0011,28327145,True,
ACT-0012,28327154,True,
ACT-0013,28327163,True,
ACT-0014,28327172,True,
ACT-0015,28327190,True,
ACT-0016,28327199,True,
ACT-0017,28327208,True,
ACT-0018,28327217,True,
ACT-0019,28327226,True,
ACT-0020,28327235,True,
ACT-0021,28327244,True,
ACT-0022,28327253,True,
ACT-0023,28327262,True,
ACT-0024,28327280,True,
ACT-0025,28327289,True,
ACT-0026,28327298,True,
ACT-0027,28327307,True,
ACT-0028,28327316,True,
ACT-0029,28327325,True,
ACT-0030,28327343,True,
ACT-0031,28327352,True,
ACT-0032,28327361,True,
ACT-0033,28327370,True,
ACT-0034,28327379,True,
ACT-0035,28327388,True,
ACT-0036,28327397,True,
ACT-0037,28327406,True,
ACT-0038,28327415,True,
ACT-0039,28327424,True,
ACT-0040,28327433,True,
ACT-0041,28327442,True,
ACT-0042,28327451,True,
ACT-0043,28327469,True,
ACT-0044,28327478,True,
ACT-0045,28327487,True,
ACT-0046,28327496,True,
ACT-0047,28327505,True,
ACT-0048,28327514,True,
ACT-0049,28327523,True,
ACT-0050,28327532,True,
ACT-0051,28327541,True,
ACT-0052,28327559,True,
ACT-0053,28327568,True,
ACT-0054,28327577,True,
ACT-0055,28327586,True,
ACT-0056,28327595,True,
ACT-0057,28327604,True,
ACT-0058,28327613,True,
ACT-0059,28327640,True,
ACT-0060,28327649,True,
ACT-0061,28327658,True,
ACT-0062,28327676,True,
ACT-0063,28327685,True,
ACT-0064,28327694,True,
ACT-0065,28327703,True,
ACT-0066,28327712,True,
ACT-0067,28327721,True,
ACT-0068,28327730,True,
ACT-0069,28327739,True,
ACT-0070,28327748,True,
ACT-0071,28327757,True,
ACT-0072,28327766,True,
ACT-0073,28327775,True,
ACT-0074,28327784,True,
ACT-0075,28327793,True,
ACT-0076,28327802,True,
ACT-0077,28327811,True,
ACT-0078,28327829,True,
ACT-0079,28327838,True,
ACT-0080,28327847,True,
ACT-0081,28327856,True,
ACT-0082,28327865,True,
ACT-0083,28327883,True,
ACT-0084,28327892,True,
ACT-0085,28327901,True,
ACT-0086,28327910,True,
ACT-0087,28327919,True,
ACT-0088,28327928,True,
ACT-0089,28327937,True,
ACT-0090,28327964,True,
ACT-0091,28327973,True,
ACT-0092,28327982,True,
ACT-0093,28327991,True,
ACT-0094,28328000,True,
ACT-0095,28328009,True,
ACT-0096,28328027,True,
ACT-0097,28328036,True,
ACT-0098,28328045,True,
ACT-0099,28328054,True,
ACT-0100,28328063,True,
ACT-0101,28328072,True,
ACT-0102,28328081,True,
ACT-0103,28328090,True,
ACT-0104,28328099,True,
ACT-0105,28328108,True,
ACT-0106,28328117,True,
ACT-0107,28328126,True,
ACT-0108,28328144,True,
ACT-0109,28328153,True,
ACT-0110,28328162,True,
ACT-0111,28328171,True,
ACT-0112,28328180,True,
ACT-0113,28328189,True,
ACT-0114,28328198,True,
ACT-0115,28328216,True,
ACT-0116,28328225,True,
ACT-0117,28328234,True,
ACT-0118,28328243,True,
ACT-0119,28328252,True,
ACT-0120,28328261,True,
ACT-0121,28328270,True,
