row_id,status,endpoint,value_nm,relation_nm,p_activity,p_relation,chemical_group,assay_group,reason
ACT-0001,eligible,IC50,52.2,=,7.282329497,=,CHEM-e31f067ccb4627d8,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0002,eligible,IC50,35.0,=,7.455931956,=,CHEM-d6424bbb4fdfd4fc,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0003,eligible,IC50,29.6,=,7.528708289,=,CHEM-b0fba725182ebc2a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0004,eligible,IC50,33.7,=,7.472370099,=,CHEM-c92710e3d6eeb360,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0005,eligible,IC50,28.7,=,7.542118103,=,CHEM-47d89c52ed10945d,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0006,eligible,IC50,15.5,=,7.809668302,=,CHEM-17548d87f54e504b,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0007,eligible,IC50,13.4,=,7.872895202,=,CHEM-59d9ae3e54c4f6a7,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0008,eligible,IC50,10.4,=,7.982966661,=,CHEM-760d5694ed64ea1a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0009,eligible,IC50,60.4,=,7.218963061,=,CHEM-dce53658f66755b7,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0010,eligible,IC50,1090.0,=,5.962573502,=,CHEM-1ab74683a6383b32,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0011,eligible,IC50,37.2,=,7.429457060,=,CHEM-22c855a70e723bb5,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0012,eligible,IC50,38.2,=,7.417936637,=,CHEM-64eab3a212832cda,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0013,eligible,IC50,7.34,=,8.134303940,=,CHEM-458d80f9007129f4,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0014,eligible,IC50,128.0,=,6.892790030,=,CHEM-55b7f9a3042847ed,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0015,eligible,IC50,14.8,=,7.829738285,=,CHEM-f51d2549d518b7cc,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0016,eligible,IC50,31.1,=,7.507239611,=,CHEM-d00b9cdd8c9b6552,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0017,eligible,IC50,57.9,=,7.237321436,=,CHEM-b39d5eb4ea77de19,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0018,eligible,IC50,37.2,=,7.429457060,=,CHEM-e843b7dc899933cb,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0019,eligible,IC50,151.0,=,6.821023053,=,CHEM-a96cfa7820d6773b,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0020,eligible,IC50,143.0,=,6.844663963,=,CHEM-d456bfa6d73e3741,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0021,eligible,IC50,304.0,=,6.517126416,=,CHEM-3c105ed6220c0073,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0022,eligible,IC50,154.0,=,6.812479279,=,CHEM-05d9af55d78ffc8e,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0023,eligible,IC50,20.4,=,7.690369833,=,CHEM-d710cd5be1fda1ef,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0024,eligible,IC50,65.5,=,7.183758700,=,CHEM-90b5205c34268e91,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0025,eligible,IC50,89.7,=,7.047207557,=,CHEM-ffa7837c7d28c9d4,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0026,eligible,IC50,87.60000000000001,=,7.057495894,=,CHEM-4147b7d1e9b6dd4a,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0027,eligible,IC50,281.0,=,6.551293680,=,CHEM-a56999a5bbf668d2,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0028,eligible,IC50,413.0,=,6.384049948,=,CHEM-a8be0a1eed8018e6,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint
ACT-0029,eligible,IC50,32.3,=,7.490797478,=,CHEM-1cf94792d5604073,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0030,eligible,IC50,40.6,=,7.391473966,=,CHEM-867bcdf438f38f16,CHEMBL5736732|IC50,source-reconciled exact historical assay-export IC50; not cellular or matched 1mM ATP endpoint; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence
ACT-0031,context_only,IC50,3330.0,>,5.477555766,<,CHEM-0d777b2e653f545f,CHEMBL5736732|IC50,"censored concentration; log threshold retained with reversed inequality, not exact training label; source potential_duplicate flag retained; does not itself establish ingestion duplication or independence"
